Year,Day,SU,MI,HU,ER,ON
2015,331,0.04,0,0,0,0
2015,332,0.02,0,0,0,0
2015,333,0.05,0,0,0,0
2015,334,0.36,0,0,0,0
2015,335,0.09,0,0,0,0
2015,336,0.07,0,0,0,0
2015,337,0.04,0,0,0,0
2015,338,0.03,0,0,0,0
2015,339,0,0,0,0,0
2015,340,0,0,0,0,0
2015,341,0,0,0,0,0
2015,342,0,0,0,0,0
2015,343,0,0,0,0,0
2015,344,0.01,0,0,0,0
2015,345,0,0,0,0,0
2015,346,0,0,0,0,0
2015,347,0,0,0,0,0
2015,348,0,0,0,0,0
2015,349,0,0,0,0,0
2015,350,0.01,0,0,0,0
2015,351,0.08,0,0,0,0
2015,352,0.1,0,0,0,0
2015,353,0.11,0,0.56,0,0
2015,354,0.46,0,0,0,0
2015,355,0.46,0,0,0,0
2015,356,0.49,0,0.01,0,0
2015,357,0.42,0,0.01,0,0
2015,358,0.69,0,0.01,0,0
2015,360,0.49,0,0,0,0
2015,361,0.71,0,0,0,0
2015,362,0.94,0,0.02,0,0
2015,363,0.95,0.01,0.31,0,0
2015,364,1.17,0.07,0.44,0,0.49
2015,365,1.36,0.16,0.66,0,0.13
2016,1,1.05,0.38,0.44,0,0.18
2016,2,1.13,0.36,0.7,0,0.16
2016,3,1.18,0.36,0.89,0,0.18
2016,4,1.22,1.16,1.66,0,0.16
2016,5,1.27,1.31,4.03,0.48,0.87
2016,6,1.37,1.84,5.14,0.55,1.04
2016,7,1.35,1.08,5.39,0.87,1.14
2016,8,1,0.67,3.99,0.23,0.93
2016,9,1.19,0.97,2.73,0.22,0.82
2016,10,1.41,1.48,3.26,0.09,0.75
2016,11,3.06,3.62,7.41,0.18,0.76
2016,12,2.85,4.14,7.3,5.28,0.93
2016,13,3.88,6.23,10.01,7,1.07
2016,14,5.01,5.91,9.46,8.34,1.11
2016,15,6.46,4.31,9.44,8.44,1.11
2016,16,5.84,5.05,10.06,7.01,1
2016,17,7.29,10.9,14.49,9.58,1.11
2016,18,3.95,12.97,17.38,10.42,1.2
2016,19,6.43,14.69,17.51,21.08,2.06
2016,20,8.85,17.94,20.28,23.72,1.54
2016,21,8.62,19.26,20.67,27.45,2.94
2016,22,6.93,18.62,23.01,32.26,3.2
2016,23,7.57,17.15,24.05,26.29,1.91
2016,24,6.26,17.35,24.33,26.13,1.92
2016,25,5.24,11.04,18.92,21.71,1.99
2016,26,5.33,11.39,12.9,21.49,1.97
2016,27,5.37,11.41,13.67,16.24,1.73
2016,28,5.21,8.28,12.81,11.2,2.07
2016,29,5.31,11.9,18.19,22.82,2.08
2016,30,4.92,10.84,15.6,18.5,2.03
2016,31,3,10.22,13.26,12.63,1.49
2016,32,2.15,6.93,8.55,5.28,1.43
2016,33,2.91,7.93,9.33,5.58,1.31
2016,34,3.24,8.08,9.56,2.83,1.05
2016,35,4.88,9.18,12.75,1.94,1.03
2016,36,4.78,9.45,15.07,1.51,0.95
2016,37,4.78,9.45,15.06,1.51,0.95
2016,38,3.78,6.2,12.84,0.89,0.66
2016,39,3.14,6.62,8.05,1.02,0.66
2016,40,5.43,8.31,7.85,0.8,0.81
2016,41,6.29,11.7,11.53,0.73,0.81
2016,42,8.15,15.53,22.35,3.18,1.01
2016,43,8.15,15.53,22.35,3.18,1.01
2016,44,13.09,21.51,33.26,40.84,5.2
2016,45,22.7,26.73,47.95,66.06,24.54
2016,46,17.76,17.38,32.08,78.7,23.73
2016,47,16.7,16.24,28.84,66.85,5.59
2016,48,10.11,17.13,25.37,63.34,5.45
2016,49,14.48,21.5,33.78,68.14,16.55
2016,50,16.53,15.82,28.96,59.18,13.58
2016,51,15.89,14.24,21.7,33.3,9.36
2016,52,4.01,10.8,19.49,34.37,9.67
2016,53,6.14,11.51,18.43,27.85,7.77
2016,54,6.69,11.24,20.94,19.33,7.91
2016,55,5.87,12.14,21.51,23.97,6.72
2016,56,5.92,9.89,19.36,22.98,6.3
2016,57,5.3,9.55,16.03,7.66,6.56
2016,58,4.5,9.27,14.33,4.75,6.07
2016,59,3.51,8.07,14.11,1.75,4.24
2016,60,11.55,9.47,16.11,0.03,3.89
2016,61,12.17,10.23,15.33,0.03,3.45
2016,62,13.3,14.32,31.62,1.02,7.81
2016,63,15.52,14.87,38.87,2.9,11.85
2016,64,15.76,13.58,38.37,6.52,10.74
2016,65,14.93,12.27,37.56,5.82,10.78
2016,66,10.14,9.27,34.87,11.96,12.37
2016,67,6.88,7.61,18.7,2.55,9.4
2016,68,6.4,7.35,17.15,0.05,5.94
2016,69,5.34,6.79,16.28,0,5.32
2016,70,3.97,7.72,15.28,0,4.35
2016,71,4.06,7.27,15.72,0,2.88
2016,72,3.92,6.07,12.56,0,2.48
2016,73,3.73,6.08,12.38,0,2.24
2016,75,4.12,5.35,10.6,0,2.4
2016,76,2.95,2.92,8.65,0,1.97
2016,77,2.13,1.05,6.9,0,0.12
2016,78,1.64,1.71,6.07,0,0.15
2016,79,5.47,0.83,8.37,0.04,0.69
2016,80,2.72,0.46,9.27,0,0.15
2016,81,1.72,0.29,4.24,0,0.09
2016,82,1.57,0.11,3.95,0,0
2016,83,1.59,0.07,3.96,0,0
2016,84,1.47,0.03,3.75,0,0
2016,85,1.45,0.02,4.17,0,0
2016,86,1.32,0.02,3.77,0,0
2016,87,1.27,0.02,3.27,0,0
2016,88,1.27,0.02,3.2,0,0
2016,89,1.22,0.02,3.14,0,0
2016,90,1.31,0.03,3.16,0,0
2016,91,1.26,0.03,3.31,0,0
2016,92,1.28,0.03,3.33,0,0
2016,93,1.15,0.03,3.33,0,0
2016,94,1.11,0,2.08,0,0
2016,95,1.11,0,2,0,0
2016,96,1.3,0.21,2.32,0,0.03
2016,97,1.13,0,2.15,0,0
2016,98,1.13,0,1.96,0,0
2016,99,1.13,0,1.73,0,0
2016,100,1.07,0,1.72,0,0
2016,101,0.56,0,1.68,0,0
2016,102,1.05,0,1.68,0,0
2016,103,1.1,0,1.7,0,0
2016,104,1.06,0,1.73,0,0
2016,105,1.06,0,1.64,0,0
2016,106,1.06,0,1.47,0,0
2016,107,0.55,0,1.47,0,0
2016,108,1.04,0,1.44,0,0
2016,109,1.04,0,1.48,0,0
2016,110,1.02,0,1.37,0,0
2016,111,1.04,0,1.39,0,0
2016,112,1.04,0,1.35,0,0
2016,113,1.04,0,1.36,0,0
2016,114,0.93,0,1.03,0,0
2016,115,0.91,0,0.53,0,0
2016,116,0.91,0,0.52,0,0
2016,117,0.91,0,0.3,0,0
2016,118,0.93,0,0,0,0
2016,119,0.94,0,0,0,0
2016,120,0.94,0,0,0,0
2016,121,0.32,0,0,0,0
2016,122,0.54,0,0,0,0
2016,123,0.24,0,0,0,0
2016,124,0.24,0,0,0,0
2016,125,0.24,0,0,0,0
2016,126,0,0,0,0,0
2016,127,0,0,0,0,0
2016,346,0.34,0,0.11,0,0
2016,347,0.53,0.27,0.11,0,0
2016,348,0.6,0.5,0.4,0.2,0
2016,349,0.68,0.66,0.6,0.29,0
2016,350,0.85,1.54,2.18,5.08,0.17
2016,351,1.22,3.7,5.38,9.52,1.06
2016,352,1.22,4.21,6.46,10.98,1.03
2016,353,1.39,2.63,6.5,11.24,1.17
2016,354,2.15,4,5.82,11.27,1.45
2016,355,2.39,4.63,8.81,11.93,1.43
