Anchorage,San Diego,Chicago,St Louis,Cleveland,Seattle
38,52.4,30.7,38.1,44.8,37.5
38.4,51.9,27.6,31.9,35.3,37.1
27.3,52.8,29.2,32.6,34.1,46.8
14.4,52.9,37,36.9,37.8,50.6
7.2,55.7,38.9,44.1,37.4,46.4
6.1,57.4,37.9,43.5,40,45.3
-0.8,56.4,43.6,57.2,38,39.8
7,58.8,41.4,50.2,52.8,40.7
11.1,59.3,23.2,37.5,33.2,47.2
13.2,58.9,17.9,26.8,24.9,50.4
3.5,56.5,23.4,28.1,26.5,50.5
0.8,57.8,30.2,31,27.3,50.7
19.3,55.8,29.7,31.6,28.3,47.5
27.3,57.6,25.4,30.1,25.5,42.7
23.2,58.2,25.5,31.5,22.7,38.9
20.3,61.4,30.4,35.1,27,41.6
25.4,62.1,30.3,35.4,26.9,51.1
16.9,61,29.7,35.3,33.5,49.6
11.8,60.3,26.4,33.2,29.2,47.9
7.7,61.6,11.9,17,19.2,43.7
9.3,61.2,9.4,15.4,10.9,41.4
20.8,56.7,18.7,30.2,15.3,42.7
31.2,56.9,29.5,35,42,48.2
34.2,58.1,16.6,23.9,33.1,45.9
37.6,61.2,1.3,18.4,19.2,44.1
37.1,62.2,2.1,31,17.5,41.7
32.4,62.1,3.8,29.5,23.2,40.9
32,61.1,18.4,34.7,18.4,42.6
33.7,60.4,5.8,17.7,24.4,43
34.6,60.8,-14.6,5.5,3.6,42
32.7,60.8,-16.4,3.6,-0.9,45
