Anchorage,San Diego,Chicago,St Louis,Cleveland,Seattle
63.1,68,77.1,84.1,73.7,70.5
71.3,66.4,81.9,83.8,79.9,67.4
69.6,66.8,77.6,83.3,77.1,59
71.9,67.1,78.1,80.8,79.2,62.6
73.5,67.7,81.4,80.1,80.7,63
69.8,67.1,77.7,80.1,80.6,63.5
71.8,66.6,70.2,81.6,77.5,63.1
72.5,66.9,70.8,80,74,62.8
72.3,68.4,74.2,83.2,71.7,67.3
63.1,69,83.4,85.8,80.5,65.1
60,68.5,77.5,79.7,82.7,65.7
61.5,67.9,71.8,79.6,74,68.6
63,68,81.9,82,76.2,69.5
64.7,66.5,79.4,83.1,78.2,67.8
61,68.5,81,75.8,76.5,68.3
64.6,69.9,78.6,74.1,77.5,67.6
63.5,65.7,80.5,84.3,76.9,66.8
65.9,67.8,77.4,81.8,79.7,62.9
69,67.6,85.5,88.2,84.1,61.4
67.3,68.8,85,88,86.3,65.3
64.5,70.3,73.6,86.2,81.6,71.5
67.3,70.3,70.3,77.4,72.1,71.3
66.3,73.1,69.9,74,72.4,66.4
62.4,75.2,71.2,75.8,69.8,65.5
60.5,76.1,73.3,77.4,71.1,69.8
61.8,74.4,75.6,78.8,73.7,73.3
58.6,74.2,79.7,80.2,76.2,70.4
61.3,71.8,81.1,82.6,80.2,68.5
59.2,68.6,77.1,80.4,80.4,69
62.9,69.4,73.2,77.3,76.7,65.7
63.3,69.1,68.6,76.4,75,68.7
